concert_num,title,concert_content,start_date,end_date,performance_time,location,age_rate,payment_link,concert_poster
1,2025 IRENE & SEULGI Concert Tour [ BALANCE ] in SEOUL,content_2025 IRENE SEULGI Concert Tour BALANCE in SEOUL_0.png-,2025.06.14,2025.06.15,120분,올림픽공원 올림픽홀,7세 이상,https://ticket.melon.com/performance/index.htm?prodId=211290,poster_2025 IRENE SEULGI Concert Tour BALANCE in SEOUL.png
2,전주국제영화제 씨네투어X음악,content_전주국제영화제 씨네투어X음악_0.png-content_전주국제영화제 씨네투어X음악_1.png-content_전주국제영화제 씨네투어X음악_2.png-,2025.05.02,2025.05.06,50분,전주시네마타운 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211284,poster_전주국제영화제 씨네투어X음악.png
3,제17회 서울재즈페스티벌 2025,,2025.05.30,2025.06.01,-,올림픽공원 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211080,poster_제17회 서울재즈페스티벌 2025.png
4,Shinsei Kamattechan Live in Seoul,content_Shinsei Kamattechan Live in Seoul_0.png-,2025.06.18,2025.06.18,90분,노들섬 라이브하우스 ,12세 이상,https://ticket.melon.com/performance/index.htm?prodId=211259,poster_Shinsei Kamattechan Live in Seoul.png
5,2025 NCT DREAM FANMEETING 〈DREAM QUEST〉,content_2025 NCT DREAM FANMEETING DREAM QUEST_0.png-,2025.05.24,2025.05.25,100분,인스파이어 아레나 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211217,poster_2025 NCT DREAM FANMEETING DREAM QUEST.png
6,2025 SONG SOHEE CONCERT : 롤링 30주년 기념 공연,content_2025 SONG SOHEE CONCERT 롤링 30주년 기념 공연_0.png-,2025.05.23,2025.05.23,90분,롤링홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211296,poster_2025 SONG SOHEE CONCERT 롤링 30주년 기념 공연.png
7,사운드 플래닛 페스티벌 2025 - 얼리버드 티켓,content_사운드 플래닛 페스티벌 2025 얼리버드 티켓_0.png-content_사운드 플래닛 페스티벌 2025 얼리버드 티켓_1.png-,2025.09.13,2025.09.14,660분,인천 파라다이스시티 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211303,poster_사운드 플래닛 페스티벌 2025 얼리버드 티켓.png
8,윤종신 전국투어 콘서트 ‘그때’ - 서울,content_윤종신 전국투어 콘서트 그때 서울_0.png-,2025.06.07,2025.06.08,120분,우리금융아트홀 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211242,poster_윤종신 전국투어 콘서트 그때 서울.png
9,JEONJINHEE PIANO 雨後,content_JEONJINHEE PIANO_0.png-,2025.05.10,2025.05.11,90분,서울대학교 제1파워플랜트 ,12세 이상,https://ticket.melon.com/performance/index.htm?prodId=211280,poster_JEONJINHEE PIANO.png
10,극동아시아타이거즈 전국투어〈호랑이 소리를 찾아서〉- 서울,content_극동아시아타이거즈 전국투어 호랑이 소리를 찾아서 서울_0.png-,2025.05.17,2025.05.17,90분,KT&G 상상마당 홍대 라이브홀,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211307,poster_극동아시아타이거즈 전국투어 호랑이 소리를 찾아서 서울.png
11,PEAK FESTIVAL 2025,content_PEAK FESTIVAL 2025_0.png-content_PEAK FESTIVAL 2025_1.png-content_PEAK FESTIVAL 2025_2.png-,2025.05.24,2025.05.25,540분,서울 난지한강공원 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211147,poster_PEAK FESTIVAL 2025.png
12,극동아시아타이거즈 전국투어〈호랑이 소리를 찾아서〉- 부산,content_극동아시아타이거즈 전국투어 호랑이 소리를 찾아서 부산_0.png-,2025.06.06,2025.06.06,90분,KT&G 상상마당 부산 라이브홀,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211305,poster_극동아시아타이거즈 전국투어 호랑이 소리를 찾아서 부산.png
13,제72회 라이브 클럽 데이－일반 티켓,content_제72회 라이브 클럽 데이 일반 티켓_0.png-,2025.04.25,2025.04.25,180분,LIVE CLUB DAY ,13세 이상,https://ticket.melon.com/performance/index.htm?prodId=211271,poster_제72회 라이브 클럽 데이 일반 티켓.png
14,윤종신 전국투어 콘서트 ‘그때’ - 부산,content_윤종신 전국투어 콘서트 그때 부산_0.png-,2025.06.01,2025.06.01,120분,드림씨어터 ,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211220,poster_윤종신 전국투어 콘서트 그때 부산.png
15,2025 대구힙합페스티벌,content_2025 대구힙합페스티벌_0.png-content_2025 대구힙합페스티벌_1.png-content_2025 대구힙합페스티벌_2.png-,2025.06.28,2025.06.29,600분,대구 엑스코(EXCO) 동관 전시 4홀,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211027,poster_2025 대구힙합페스티벌.png
16,아디오스오디오 단독콘서트 ‘별들 사이로’ : 롤링 30주년 기념 공연,content_아디오스오디오 단독콘서트 별들 사이로 롤링 30주년 기념 공연_0.png-,2025.05.18,2025.05.18,100분,롤링홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211281,poster_아디오스오디오 단독콘서트 별들 사이로 롤링 30주년 기념 공연.png
17,워터밤 서울 2025 (WATERBOMB SEOUL 2025),content_워터밤 서울 2025 WATERBOMB SEOUL 2025_0.png-,2025.07.04,2025.07.06,540분,일산 킨텍스(KINTEX) 야외 글로벌 스테이지(KINTEX 제2전시장),19세 이상,https://ticket.melon.com/performance/index.htm?prodId=210779,poster_워터밤 서울 2025 WATERBOMB SEOUL 2025.png
18,KARDI 단독콘서트 ‘각별’ : 롤링 30주년 기념 공연,content_KARDI 단독콘서트 각별 롤링 30주년 기념 공연_0.png-,2025.05.17,2025.05.17,100분,롤링홀 ,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211274,poster_KARDI 단독콘서트 각별 롤링 30주년 기념 공연.png
19,신해경 단독 공연 ‘꽃이 피는 계절’ : 부산,content_신해경 단독 공연 꽃이 피는 계절 부산_0.png-,2025.05.24,2025.05.24,90분,KT&G 상상마당 부산 라이브홀,전체관람가,https://ticket.melon.com/performance/index.htm?prodId=211279,poster_신해경 단독 공연 꽃이 피는 계절 부산.png
20,윤종신 전국투어 콘서트 ‘그때’ - 고양,content_윤종신 전국투어 콘서트 그때 고양_0.png-,2025.05.03,2025.05.03,120분,고양 아람누리 아람극장,8세 이상,https://ticket.melon.com/performance/index.htm?prodId=211166,poster_윤종신 전국투어 콘서트 그때 고양.png
21,정원영밴드 단독공연 〈HOMECOMING〉,content_정원영밴드 단독공연 HOMECOMING_0.png-,2025.05.15,2025.05.16,90분,CJ아지트 광흥창 ,12세 이상,https://ticket.melon.com/performance/index.htm?prodId=211324,poster_정원영밴드 단독공연 HOMECOMING.png
